period,order_backlog_total,order_backlog_building_construction,order_backlog_commercial_and_industrial_building_construction,order_backlog_public_building_construction,order_backlog_civil_engineering,order_backlog_commercial_and_industrial_civil_engineering,order_backlog_road_construction,order_backlog_other_civil_engineering
2020,,,,,,,,
1. Vj.,1953113,1333063,603004,561082,168978,620050,314089,221943
2. Vj.,1806630,1169550,548573,468902,152075,637081,318754,218407
3. Vj.,1716046,1106379,535319,442433,128627,609667,289729,224921
4. Vj.,1695260,1159868,620450,435374,104044,535392,286202,197630
2021,,,,,,,,
1. Vj.,1888563,1290899,766088,391796,133016,597664,309661,216963
2. Vj.,2039990,1347050,743428,472540,131083,692940,363403,237293
3. Vj.,2245709,1569809,989027,442464,138317,675901,316781,216659
4. Vj.,2282925,1652755,1149502,377702,125551,630169,297801,192062
