month,turnover,turnover_total,turnover_building_construction,turnover_commercial_and_industrial_building_construction,turnover_public_building_construction,turnover_civil_engineering,turnover_commercial_and_industrial_civil_engineering,turnover_road_construction,turnover_other_civil_engineering
Januar,243292,243242,164002,101604,45319,17080,79240,40519,13151
Februar,...,...,...,...,...,...,...,...,...
März,...,...,...,...,...,...,...,...,...
April,...,...,...,...,...,...,...,...,...
Mai,...,...,...,...,...,...,...,...,...
Juni,...,...,...,...,...,...,...,...,...
Juli,...,...,...,...,...,...,...,...,...
August,...,...,...,...,...,...,...,...,...
September,...,...,...,...,...,...,...,...,...
Oktober,...,...,...,...,...,...,...,...,...
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
