month,turnover,turnover_total,turnover_building_construction,turnover_commercial_and_industrial_building_construction,turnover_public_building_construction,turnover_civil_engineering,turnover_commercial_and_industrial_civil_engineering,turnover_road_construction,turnover_other_civil_engineering
Januar,217621,217299,150869,103250,31044,16575,66430,40627,12750
Februar,...,...,...,...,...,...,...,...,...
März,...,...,...,...,...,...,...,...,...
April,...,...,...,...,...,...,...,...,...
Mai,...,...,...,...,...,...,...,...,...
Juni,...,...,...,...,...,...,...,...,...
Juli,...,...,...,...,...,...,...,...,...
August,...,...,...,...,...,...,...,...,...
September,...,...,...,...,...,...,...,...,...
Oktober,...,...,...,...,...,...,...,...,...
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
