period,order_backlog_total,order_backlog_building_construction,order_backlog_commercial_and_industrial_building_construction,order_backlog_public_building_construction,order_backlog_civil_engineering,order_backlog_commercial_and_industrial_civil_engineering,order_backlog_road_construction,order_backlog_other_civil_engineering
2021,,,,,,,,
1. Vj.,1888563,1290899,766088,391796,133016,597664,309661,216963
2. Vj.,2039990,1347050,743428,472540,131083,692940,363403,237293
3. Vj.,2245709,1569809,989027,442464,138317,675901,316781,216659
4. Vj.,2282925,1652755,1149502,377702,125551,630169,297801,192062
2022,,,,,,,,
1. Vj.,2536610,1617375,1074179,405660,137537,919235,548803,179015
2. Vj.,...,...,...,...,...,...,...,...
3. Vj.,...,...,...,...,...,...,...,...
4. Vj.,...,...,...,...,...,...,...,...
